prefab,name,char_id,bgm_id,bgm_filename
LobbyAru,Aru,10000,38,Theme_38.ogg
LobbyEimi,Eimi,10001,36,Theme_36.ogg
LobbyHaruna,Haruna,10002,36,Theme_36.ogg
LobbyHihumi,Hihumi,10003,82,Theme_82.ogg
LobbyHina,Hina,10004,21,Theme_21.ogg
LobbyHoshino,Hoshino,10005,12,Theme_12.ogg
LobbyIori,Iori,10006,2,Theme_02.ogg
LobbyMaki,Maki,10007,36,Theme_36.ogg
LobbyNeru,Neru,10008,53,Theme_53.ogg
LobbyIzumi,Izumi,10009,38,Theme_38.ogg
LobbyShiroko,Shiroko,10010,9,Theme_09.ogg
LobbyShun,Shun,10011,9,Theme_09.ogg
LobbySumire,Sumire,10012,39,Theme_39.ogg
LobbyTsurugi,Tsurugi,10013,47,Theme_47.ogg
LobbyIzuna,Izuna,10014,57,Theme_57.ogg
LobbyAris,Aris,10015,67,Theme_67.ogg
LobbyMidori,Midori,10016,36,Theme_36.ogg
LobbyCherino,Cherino,10017,62,Theme_62.ogg
LobbyYuzu,Yuzu,10018,50,Theme_50.ogg
LobbyAzusa,Azusa,10019,36,Theme_36.ogg
LobbyKoharu,Koharu,10020,38,Theme_38.ogg
LobbyAzusa_swimsuit,Azusa_swimsuit,10021,2,Theme_02.ogg
LobbyCH0063,CH0063,10022,21,Theme_21.ogg
LobbyCH0064,CH0064,10023,86,Theme_86.ogg
LobbyShiroko_ridingsuit,Shiroko_ridingsuit,10024,39,Theme_39.ogg
LobbyCH0066,CH0066,10025,46,Theme_46.ogg
LobbyCH0101,CH0101,10026,36,Theme_36.ogg
LobbyCH0100,CH0100,10027,94,Theme_94.ogg
LobbyCH0098,CH0098,10028,94,Theme_94.ogg
LobbyCH0155,CH0155,10029,36,Theme_36.ogg
LobbyCH0163,CH0163,10030,21,Theme_21.ogg
LobbyAru_Newyear,Aru_Newyear,10031,97,Theme_97.ogg
LobbyMutsuki_Newyear,Mutsuki_Newyear,10032,97,Theme_97.ogg
LobbyWakamo,Wakamo,10033,77,Theme_77.ogg
LobbyMimori,Mimori,10034,9,Theme_09.ogg
LobbyCH0169,CH0169,10035,46,Theme_46.ogg
LobbyHinata,Hinata,10036,37,Theme_37.ogg
LobbyMarina,Marina,10037,103,Theme_103.ogg
LobbyMiyako,Miyako,10038,53,Theme_53.ogg
LobbyCH0145,CH0145,10039,104,Theme_104.ogg
LobbyCH0114,CH0114,10040,103,Theme_103.ogg
LobbyMisaki,Misaki,10041,105,Theme_105.ogg
LobbyAtsuko,Atsuko,10042,21,Theme_21.ogg
LobbyCH0175,CH0175,10043,37,Theme_37.ogg
LobbyCH0092,CH0092,10044,46,Theme_46.ogg
LobbyHoshino_swimsuit,Hoshino_swimsuit,10045,120,Theme_120.ogg
LobbyCH0179,CH0179,10046,46,Theme_46.ogg
LobbyCH0178,CH0178,10047,103,Theme_103.ogg
LobbySaori,Saori,10048,105,Theme_105.ogg
LobbyKazusa,Kazusa,10049,103,Theme_103.ogg
LobbyCH0137,CH0137,10050,36,Theme_36.ogg
LobbyCH0182,CH0182,10051,131,Theme_131.ogg
LobbyCH0095,CH0095,10052,46,Theme_46.ogg
LobbyCH0184,CH0184,10053,9,Theme_09.ogg
LobbyCH0186,CH0186,10054,109,Theme_109.ogg
LobbyShigure,Shigure,10055,135,Theme_135.ogg
LobbyCH0194,CH0194,10056,139,Theme_139.ogg
LobbyCH0191,CH0191,10057,9,Theme_09.ogg
LobbyCH0152,CH0152,10058,2,Theme_02.ogg
LobbyCH0069,CH0069,10059,22,Theme_22.ogg
LobbyCH0088,CH0088,10060,43,Theme_43.ogg
LobbySakurako,Sakurako,10061,105,Theme_105.ogg
LobbyCH0187,CH0187,10062,103,Theme_103.ogg
LobbyCH0198,CH0198,10063,104,Theme_104.ogg
LobbyCH0086,CH0086,10064,67,Theme_67.ogg
LobbyCH0107,CH0107,10065,44,Theme_44.ogg
LobbyCH0200,CH0200,10066,36,Theme_36.ogg
LobbyCH0211,CH0211,10067,9,Theme_09.ogg
LobbyCH0167,CH0167,10068,67,Theme_67.ogg
LobbyCH0135,CH0135,10069,44,Theme_44.ogg
LobbyCH0138,CH0138,10070,171,Theme_171.ogg
LobbyCH0215,CH0215,10071,9,Theme_09.ogg
LobbyCH0217,CH0217,10072,165,Theme_165.ogg
LobbyCH0204,CH0204,10073,173,Theme_173.ogg
LobbyCH0209,CH0209,10074,9,Theme_09.ogg
LobbyCH0124,CH0124,10075,21,Theme_21.ogg
LobbyCH0185,CH0185,10076,103,Theme_103.ogg
LobbyCH0071,CH0071,10077,192,Theme_192.ogg
LobbyCH0089,CH0089,10078,8,Theme_08.ogg
LobbyCH9998,CH9998,10079,38,Theme_38.ogg
LobbyCH9997,CH9997,10080,103,Theme_103.ogg
LobbyCH0161,CH0161,10081,50,Theme_50.ogg
LobbyCH0224,CH0224,10082,36,Theme_36.ogg
LobbyCH0225,CH0225,10083,37,Theme_37.ogg
LobbyCH0232,CH0232,10084,37,Theme_37.ogg
LobbyCH0233,CH0233,10085,193,Theme_193.ogg
LobbyCH0230,CH0230,10086,10022,Theme_179_Inst2.ogg
LobbyCH0231,CH0231,10087,103,Theme_103.ogg
LobbyCH0239,CH0239,10088,10023,Theme_135.ogg
LobbyCH0240,CH0240,10089,21,Theme_21.ogg
LobbyCH0110,CH0110,10090,216,Theme_216.ogg
LobbyCH0250,CH0250,10091,210,Theme_210.ogg
LobbyCH0220,CH0220,10092,215,Theme_215.ogg
LobbyKirara,Kirara,10093,210,Theme_210.ogg
LobbyCH0201,CH0201,10094,214,Theme_214.ogg
LobbyCH0202,CH0202,10095,220,Theme_220.ogg
LobbyCH0260,CH0260,10096,216,Theme_216.ogg
LobbyCH0216,CH0216,10097,186,Theme_186.ogg
LobbyCH0258,CH0258,10098,234,Theme_234.ogg
LobbyCH0263,CH0263,10100,228,Theme_228.ogg
LobbyCH0266,CH0266,10101,215,Theme_215.ogg
LobbyCH0269,CH0269,10102,214,Theme_214.ogg
LobbyCH0270,CH0270,10103,222,Theme_222.ogg
LobbyReizyo,Reizyo,10104,237,Theme_237.ogg
LobbyCH0273,CH0273,10105,234,Theme_234.ogg
LobbyCH0274,CH0274,10106,226,Theme_226.ogg
LobbyCH0238,CH0238,10107,240,Theme_240.ogg
LobbyCH0284,CH0284,10108,216,Theme_216.ogg
LobbyCH0285,CH0285,10109,209,Theme_209.ogg
LobbyCH0070,CH0070,10110,264,Theme_264.ogg
LobbyCH0280,CH0280,10111,268,Theme_268.ogg
LobbyCH0281,CH0281,10112,266,Theme_266.ogg
LobbyCH0082,CH0082,10113,244,Theme_244.ogg
LobbyCH0286,CH0286,10114,255,Theme_255.ogg
LobbyCH0245,CH0245,10115,263,Theme_263.ogg
LobbyCH0259,CH0259,10116,21,Theme_21.ogg
LobbyCH0242,CH0242,10117,266,Theme_266.ogg
LobbyCH0243,CH0243,10118,268,Theme_268.ogg
LobbyCH0222,CH0222,10119,190,Theme_190.ogg
LobbyCH0221,CH0221,10120,221,Theme_221.ogg
LobbyCH0301,CH0301,10121,267,Theme_267.ogg
