file_id,student_id,page_id,spine_id,full_name,name,skin_name,spine_remark,name_cn,name_jp,name_tw,name_en,name_kr,school_id,school_name
CH0069,1,1,354,圣园 未花,圣园 未花,,,圣园 未花,聖園 ミカ,聖園 彌香,Misono Mika,미소노 미카,2,圣三一综合学园
NP0010,1,1,1674,圣园 未花（无武器）,圣园 未花,,无武器,圣园 未花,聖園 ミカ,聖園 彌香,Misono Mika,미소노 미카,2,圣三一综合学园
NP0041,1,1,1694,圣园 未花（战损）,圣园 未花,,战损,圣园 未花,聖園 ミカ,聖園 彌香,Misono Mika,미소노 미카,2,圣三一综合学园
NP0100,1,1,1766,圣园 未花（无披肩）,圣园 未花,,无披肩,圣园 未花,聖園 ミカ,聖園 彌香,Misono Mika,미소노 미카,2,圣三一综合学园
NP0101,1,1,1767,圣园 未花（学校泳装）,圣园 未花,,学校泳装,圣园 未花,聖園 ミカ,聖園 彌香,Misono Mika,미소노 미카,2,圣三一综合学园
NP0102,1,1,1768,圣园 未花（运动服）,圣园 未花,,运动服,圣园 未花,聖園 ミカ,聖園 彌香,Misono Mika,미소노 미카,2,圣三一综合学园
CH0294,1,545,1296,圣园 未花（泳装）,圣园 未花,泳装,,圣园 未花（泳装）,聖園 ミカ（水着）,聖園 彌香（泳裝）,Misono Mika,미소노 미카,2,圣三一综合学园
NP0235,2,2,1360,才羽 桃井（防寒服）,才羽 桃井,,防寒服,才羽 桃,才羽 モモイ,才羽 桃井,Saiba Momoi,사이바 모모이,4,千禧科学学院
momoi,2,2,337,才羽 桃井,才羽 桃井,,,才羽 桃,才羽 モモイ,才羽 桃井,Saiba Momoi,사이바 모모이,4,千禧科学学院
CH0201,2,30,1465,才羽 桃井（女仆）,才羽 桃井,女仆,,才羽 桃（女仆）,才羽 モモイ（メイド）,才羽 桃井（女僕）,Saiba Momoi,사이바 모모이,4,千禧科学学院
NP0267,2,579,1382,"才羽 桃井（临战,太空服）",才羽 桃井,临战,太空服,才羽 桃（武装）,才羽 モモイ（臨戦）,才羽 桃井（武裝）,Saiba Momoi,사이바 모모이,4,千禧科学学院
NP0001,3,3,1665,白洲 梓（运动服）,白洲 梓,,运动服,白洲 梓,白洲 アズサ,白洲 梓,Shirasu Azusa,시라스 아즈사,2,圣三一综合学园
NP0002,3,3,1666,白洲 梓（学校泳装）,白洲 梓,,学校泳装,白洲 梓,白洲 アズサ,白洲 梓,Shirasu Azusa,시라스 아즈사,2,圣三一综合学园
NP0020,3,3,1680,白洲 梓（战损）,白洲 梓,,战损,白洲 梓,白洲 アズサ,白洲 梓,Shirasu Azusa,시라스 아즈사,2,圣三一综合学园
azusa,3,3,1236,白洲 梓,白洲 梓,,,白洲 梓,白洲 アズサ,白洲 梓,Shirasu Azusa,시라스 아즈사,2,圣三一综合学园
azusa_swimsuit,3,228,80,白洲 梓（泳装）,白洲 梓,泳装,,白洲 梓（泳装）,白洲 アズサ（水着）,白洲 梓（泳裝）,Shirasu Azusa,시라스 아즈사,2,圣三一综合学园
CH0137,4,4,1596,春原 心奈,春原 心奈,,,春原 心奈,春原 ココナ,春原 心菜,Sunohara Kokona,스노하라 코코나,7,山海经高级中学
CH0357,4,603,1702,春原 心奈（泳装）,春原 心奈,泳装,,春原 心奈（泳装）,春原 ココナ（水着）,春原 心菜（泳裝）,Sunohara Kokona,스노하라 코코나,7,山海经高级中学
NP0018,6,6,1678,月雪 宫子（油桶伪装）,月雪 宫子,,油桶伪装,月雪 宫子,月雪 ミヤコ,月雪 都子,Tsukiyuki Miyako,츠키유키 미야코,11,SRT特殊学园
